,país,gênero,altura,peso,comida fav.,programa fav.,esporte fav.
1,Brasil,F,180,80,Hamburguer,Chicago Fire,Natação
2,EUA,F,188,100,Pizza,Narcos,Boliche
3,EUA,F,188,100,Pizza,Friends,Futebol
4,EUA,M,188,100,Feijoada,WWE Smackdown,Atletismo
5,Brasil,F,196,95,Hamburguer,Law and Order,Atletismo
6,EUA,M,188,95,Hummus,Jeopardy,Futebol Am.
7,Brasil,F,180,70,Arroz Trop.,Narcos,Atletismo
8,EUA,F,196,105,Hamburguer,A Grande Família,Basebol
9,EUA,F,180,105,Hamburguer,A Usurpadora,Vôlei
10,EUA,M,192,105,Bagel,Family Feud,Boxe
11,Brasil,F,180,110,Pizza,Family Feud,MMA
12,EUA,M,200,90,Hummus,Narcos,Boliche
13,Brasil,M,200,90,Arroz Trop.,A Usurpadora,Atletismo
14,Brasil,F,180,80,Arroz Trop.,Narcos,Luta Livre
15,Brasil,F,172,60,Arroz Trop.,Chicago Fire,Futebol
16,EUA,F,184,80,Bagel,WWE Smackdown,Vôlei
17,Brasil,F,180,70,Hummus,Law and Order,Futebol
18,EUA,F,188,70,Acarajé,WWE Smackdown,Boxe
19,Brasil,F,196,70,Vatapá,Chaves,Futebol
20,Brasil,F,180,80,Bagel,Narcos,Atletismo
21,EUA,F,180,90,Hummus,Jaspion,Luta Livre
22,EUA,M,172,95,Churrasco,WWE Smackdown,Atletismo
23,EUA,F,200,95,Hummus,Friends,Natação
24,EUA,F,192,85,Hamburguer,Friends,Basquete
25,EUA,F,192,80,Pizza,Law and Order,Boxe
26,EUA,F,204,95,Hummus,Family Feud,Boxe
27,Brasil,F,192,90,Bagel,Chaves,Boxe
28,Brasil,F,196,85,Pizza,Chicago Fire,Atletismo
29,EUA,M,188,110,Bagel,Friends,Vôlei
30,EUA,F,164,105,Pizza,A Casa de Papel,Boxe
31,Brasil,M,204,85,Pizza,Narcos,Natação
32,Brasil,M,192,100,Acarajé,Chicago Fire,Atletismo
33,EUA,F,176,115,Tacos,A Usurpadora,Natação
34,Brasil,F,196,70,Churrasco,Family Feud,Natação
35,EUA,M,192,95,Hamburguer,Chicago Fire,Natação
36,Brasil,M,196,95,Bagel,WWE Smackdown,Boxe
37,Brasil,M,188,105,Clam Chowder,Chicago Fire,Basquete
38,EUA,M,188,115,Tacos,Narcos,Luta Livre
39,EUA,F,192,70,Arroz Trop.,Law and Order,Boxe
40,EUA,M,172,95,Pizza,Law and Order,Atletismo
41,EUA,M,172,100,Pizza,A Casa de Papel,Boxe
42,Brasil,M,192,95,Hamburguer,WWE Smackdown,Basquete
43,EUA,F,200,95,Hummus,Law and Order,Basquete
44,Brasil,M,192,105,Pizza,Friends,Luta Livre
45,Brasil,M,196,100,Churrasco,Jeopardy,Boxe
46,Brasil,M,188,85,Feijoada,A Casa de Papel,Atletismo
47,Brasil,F,192,75,Feijoada,A Usurpadora,Natação
48,EUA,M,192,85,Hamburguer,Chicago Fire,Futebol
49,EUA,M,180,100,Hamburguer,Law and Order,Basebol
50,Brasil,M,164,100,Feijoada,Jeopardy,Atletismo
51,Brasil,F,164,105,Tacos,A Usurpadora,Atletismo
52,EUA,F,200,75,Hamburguer,WWE Smackdown,Boxe
53,EUA,F,188,105,Pizza,Family Feud,Natação
54,Brasil,M,192,90,Feijoada,Chicago Fire,Luta Livre
55,EUA,F,180,105,Churrasco,A Casa de Papel,Boliche
56,Brasil,F,172,100,Arroz Trop.,Chicago Fire,Futebol de Salão
57,Brasil,F,200,95,Churrasco,Jaspion,Basquete
58,Brasil,F,188,110,Pizza,Narcos,MMA
59,EUA,F,188,80,Pizza,Jaspion,Basquete
60,EUA,M,200,105,Pizza,A Casa de Papel,Atletismo
61,EUA,M,180,85,Churrasco,Friends,Futebol
62,Brasil,F,188,100,Churrasco,Law and Order,Natação
63,Brasil,M,180,100,Churrasco,A Casa de Papel,Boliche
64,Brasil,M,200,90,Pizza,Jaspion,Atletismo
65,Brasil,M,192,85,Acarajé,A Usurpadora,Futebol Am.
66,Brasil,M,196,90,Churrasco,Friends,Boxe
67,Brasil,M,196,100,Hummus,A Casa de Papel,Basquete
68,EUA,M,200,95,Bagel,A Usurpadora,Natação
69,EUA,M,188,80,Tacos,Friends,Boxe
70,EUA,M,200,120,Tacos,WWE Smackdown,Luta Livre
71,Brasil,M,184,95,Torta de Maçã,A Casa de Papel,Atletismo
72,EUA,F,192,100,Pizza,A Usurpadora,Futebol Am.
73,EUA,F,192,100,Feijoada,A Casa de Papel,Futebol Am.
74,EUA,F,192,95,Torta de Maçã,A Usurpadora,Futebol Am.
75,Brasil,F,172,105,Pizza,A Grande Família,Vôlei
76,EUA,M,176,90,Hamburguer,Law and Order,Futebol Am.
77,EUA,F,200,100,Pizza,A Casa de Papel,Basquete
78,EUA,M,184,100,Torta de Maçã,Chicago Fire,Futebol Am.
79,EUA,F,180,75,Tacos,Jeopardy,Futebol de Salão
80,Brasil,M,184,105,Hamburguer,Law and Order,Vôlei
81,EUA,F,180,95,Bagel,Friends,Boxe
82,Brasil,M,188,80,Arroz Trop.,Jaspion,Boxe
83,Brasil,F,196,75,Pizza,Friends,Basquete
84,EUA,F,176,65,Arroz Trop.,Law and Order,Boliche
85,EUA,M,196,100,Bagel,Chicago Fire,Futebol Am.
86,EUA,F,188,75,Hamburguer,Friends,Futebol Am.
87,EUA,M,192,90,Pizza,Law and Order,Boliche
88,Brasil,M,208,90,Hummus,A Casa de Papel,Atletismo
89,EUA,M,204,95,Hamburguer,Narcos,Boxe
90,EUA,M,176,90,Clam Chowder,Law and Order,Basquete
91,Brasil,M,200,105,Churrasco,Jeopardy,Boxe
92,Brasil,M,196,60,Feijoada,Chicago Fire,MMA
93,EUA,M,184,100,Feijoada,Chicago Fire,Boxe
94,EUA,F,184,90,Bagel,Cops,Futebol
95,EUA,F,184,75,Tacos,Friends,Futebol
96,EUA,F,196,75,Acarajé,WWE Smackdown,MMA
97,Brasil,F,184,95,Hamburguer,WWE Smackdown,Basquete
98,EUA,F,192,115,Tacos,Law and Order,Basquete
99,Brasil,F,180,60,Churrasco,Chicago Fire,MMA
100,Brasil,M,172,85,Pizza,Narcos,Boliche
101,EUA,M,188,85,Hamburguer,Family Feud,Boxe
102,EUA,M,200,120,Hamburguer,Friends,Esqui
103,Brasil,M,192,55,Feijoada,Chicago Fire,Vôlei
104,Brasil,F,188,75,Bagel,A Casa de Papel,MMA
105,EUA,M,196,110,Arroz Trop.,Cops,Futebol Am.
106,EUA,M,176,105,Feijoada,Narcos,Futebol
107,EUA,F,172,100,Pizza,Narcos,Basquete
108,Brasil,M,176,95,Clam Chowder,Chicago Fire,Vôlei
109,Brasil,M,200,95,Bagel,A Usurpadora,Boxe
110,Brasil,M,180,85,Bagel,Family Feud,Boliche
111,Brasil,M,184,85,Tacos,Friends,Futebol Am.
112,EUA,M,168,100,Tacos,A Usurpadora,Futebol de Salão
